rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
14.68,173.25408470000002,2,18432,72,6215,0.40839106,0.0022502393,0.000390625,-1.2238407254219055,0.2,1262.9370567321778,0.0003,710,690.3096313476562,-0.002487380988895893
14.68,173.88618626999997,2,18688,73,6295,0.44886523,0.0009775907,0.0,-1.2906901061534881,0.2,1141.896388244629,0.0003,720,988.5989990234375,-0.0012735979631543159
14.66,175.73796735999997,2,18944,74,6377,0.49210775,0.0026327097,0.0,-1.2463305085897445,0.2,1084.2643112182618,0.0003,730,262.5608215332031,-0.003438836056739092
14.77,175.60120644000003,2,19200,75,6458,0.41951948,0.0022754222,0.018359375,-1.2573178499937057,0.2,1206.0283988952638,0.0003,740,584.3963012695312,-0.002662076149135828
14.77,175.65371611000003,2,19456,76,6539,0.44658393,0.008829922,0.048828125,-1.3459930390119552,0.2,1111.2569770812988,0.0003,750,256.3044738769531,-0.004995532426983118
14.85,176.89254422,2,19712,77,6620,0.47875184,0.004313034,0.003515625,-1.355135154724121,0.2,1100.7934280395507,0.0003,760,733.9500732421875,-0.001354693342000246
14.85,177.16181038,2,19968,78,6700,0.49003768,0.007699727,0.03125,-1.4313289910554885,0.2,1192.5305294036866,0.0003,770,561.05859375,-0.005319037428125739
14.85,174.94785602,2,20224,79,6781,0.50185335,0.005180722,0.004296875,-1.482005164027214,0.2,1183.1633697509765,0.0003,780,703.5067749023438,-0.0025438209064304828
14.98,176.23900515999998,2,20480,80,6862,0.30835992,0.002253915,0.0015625,-1.4951872527599335,0.2,2267.568438720703,0.0003,790,1198.2265625,-0.004847358644474298
14.98,176.75567452999996,2,20736,81,6946,0.51256347,0.0020241176,0.00078125,-1.49223091006279,0.2,1094.8692359924316,0.0003,800,606.887451171875,-0.002838021004572511
14.98,176.44609842000003,2,20992,82,7029,0.5069988,0.0036571748,0.0,-1.4629071474075317,0.2,1237.5860504150392,0.0003,810,494.5527648925781,-0.0036505830008536576
15.0,176.16398541,2,21248,83,7113,0.5108509,0.0054260194,0.00703125,-1.4387579023838044,0.2,1107.068081665039,0.0003,820,564.7643432617188,-0.0023056795820593835
15.0,175.85968988999997,2,21504,84,7197,0.4763767,0.0034099622,0.0296875,-1.3585046738386155,0.2,1131.3813491821288,0.0003,830,672.92041015625,-0.003057849081233144
15.0,177.56604143999996,2,21760,85,7282,0.49365968,0.0020593859,0.002734375,-1.4005000293254852,0.2,1082.9364105224608,0.0003,840,450.68902587890625,-0.0016937388572841883
15.0,177.36989946000003,2,22016,86,7366,0.4955427,0.0073333136,0.012109375,-1.381960928440094,0.2,1116.1311592102052,0.0003,850,396.74591064453125,-0.004587232973426581
15.0,176.91667066999997,2,22272,87,7451,0.47753602,0.0016603305,0.0,-1.3040704995393753,0.2,1068.6074928283692,0.0003,860,370.79791259765625,-0.001340574026107788
14.91,174.73617684,2,22528,88,7535,0.5203599,0.0014312838,0.001953125,-1.3314018666744232,0.2,1140.9353950500488,0.0003,870,891.9981689453125,-0.002761305822059512
14.91,174.46260071,2,22784,89,7619,0.297728,0.0016492901,0.006640625,-1.345377790927887,0.2,2077.415271759033,0.0003,880,591.6450805664062,-0.0022821660619229077
14.91,174.44479846,2,23040,90,7702,0.54890734,0.00681048,0.026171875,-1.3615005612373352,0.2,962.7692253112793,0.0003,890,313.6706237792969,-0.00413328199647367
14.91,174.89486831,2,23296,91,7784,0.51070416,0.0046312073,0.016796875,-1.2666669577360152,0.2,1166.7293842315673,0.0003,900,554.449462890625,-0.0036740868352353575
14.91,174.97210903000004,2,23552,92,7866,0.5120225,0.0020314422,0.03046875,-1.2785200029611588,0.2,1058.2932495117188,0.0003,910,149.62001037597656,-0.002522600255906582
14.91,174.42616551,2,23808,93,7949,0.4636085,0.0073289894,0.02734375,-1.3156492799520492,0.2,1139.119260406494,0.0003,920,591.5398559570312,-0.0036127239000052214
15.0,177.17818279,2,24064,94,8031,0.5078156,0.0032474746,0.00390625,-1.382988950610161,0.2,1024.1490386962892,0.0003,930,1028.5130615234375,-0.0014349790988489985
14.87,176.72707893999998,2,24320,95,8114,0.5354161,0.0075733187,0.0515625,-1.3541144102811813,0.2,1118.063037109375,0.0003,940,624.3284301757812,-0.007598335016518831
14.87,176.76883324,2,24576,96,8197,0.49315512,0.00651868,0.028125,-1.3759800881147384,0.2,1123.2805503845216,0.0003,950,682.9810791015625,-0.0078118364326655865
14.87,176.88628616000003,2,24832,97,8279,0.5344032,0.0036842383,0.00625,-1.3682233840227127,0.2,1052.8941902160645,0.0003,960,603.9932861328125,-0.0015120406169444323
14.87,177.59080681999993,3,25088,98,8360,0.5266097,0.0026071975,0.004296875,-1.396134552359581,0.2,1049.312452697754,0.0003,970,345.5027770996094,-0.0016812015790492296
14.87,178.16239581,3,25344,99,8442,0.52787507,0.008817776,0.040625,-1.4063987016677857,0.2,996.2180355072021,0.0003,980,203.7206573486328,-0.0037022574804723265
14.77,178.69001608,3,25600,100,8525,0.5461835,0.013351519,0.064453125,-1.3877740025520324,0.2,1029.3635199546814,0.0003,990,231.58572387695312,-0.005119520286098122
14.89,178.70968688000002,3,25856,101,8608,0.5379579,0.010526912,0.036328125,-1.3199515223503113,0.2,1071.3995780944824,0.0003,1000,460.2532958984375,-0.007278106221929192
14.89,178.05143583999998,3,26112,102,8693,0.49583477,0.0065318244,0.013671875,-1.3138855576515198,0.2,1071.3005126953126,0.0003,1010,510.992919921875,-0.004295879555866122
14.89,175.50125186000002,3,26368,103,8778,0.5271038,0.0073090885,0.025,-1.4146629691123962,0.2,1064.5090469360352,0.0003,1020,603.3718872070312,-0.0066280963364988565
14.89,173.40558969999998,3,26624,104,8861,0.3710611,0.004072911,0.00234375,-1.4221831530332565,0.2,1841.1271011829376,0.0003,1030,988.6205444335938,-0.0034580685663968326
14.77,172.32882725,3,26880,105,8944,0.35271144,0.0039587067,0.00390625,-1.384090855717659,0.2,1898.815382385254,0.0003,1040,706.79638671875,-0.005288916057907045
14.87,171.77608510000005,3,27136,106,9028,0.5613924,0.005745399,0.041796875,-1.2990304827690125,0.2,935.4342025756836,0.0003,1050,752.1575927734375,-0.001372658833861351
14.88,172.51949422999994,3,27392,107,9109,0.5405852,0.0040675206,0.07109375,-1.2705060541629791,0.2,902.5919158935546,0.0003,1060,433.5553894042969,-0.005350695387460291
14.88,173.18143722999997,3,27648,108,9191,0.56631815,0.0061741835,0.069140625,-1.2707524567842483,0.2,955.1399635314941,0.0003,1070,111.37785339355469,-0.003185715014114976
